Smederevo;Pozarevac;Markovac;Lapovo;Batocina;Jagodina;Paracin;Pojate;Aleksinac;Nis;
     x   ;  1.00  ;  1.20  ; 1.30 ;  1.40  ;   1.50  ;  1.60 ; 1.70 ;   1.80  ;1.90;
   1.00  ;    x   ;  1.00  ; 1.20 ;  1.30  ;   1.40  ;  1.50 ; 1.60 ;   1.70  ;1.80;
   1.20  ;  1.00  ;    x   ; 1.00 ;  1.20  ;   1.30  ;  1.40 ; 1.50 ;   1.60  ;1.70;
   1.30  ;  1.20  ;  1.00  ;   x  ;  1.00  ;   1.20  ;  1.30 ; 1.40 ;   1.50  ;1.60;
   1.40  ;  1.30  ;  1.20  ; 1.00 ;    x   ;   1.00  ;  1.20 ; 1.30 ;   1.40  ;1.50;
   1.50  ;  1.40  ;  1.30  ; 1.20 ;  1.00  ;     x   ;  1.00 ; 1.20 ;   1.30  ;1.40;
   1.60  ;  1.50  ;  1.40  ; 1.30 ;  1.20  ;   1.00  ;    x  ; 1.00 ;   1.20  ;1.30;
   1.70  ;  1.60  ;  1.50  ; 1.40 ;  1.30  ;   1.20  ;  1.00 ;   x  ;   1.00  ;1.20;
   1.80  ;  1.70  ;  1.60  ; 1.50 ;  1.40  ;   1.30  ;  1.20 ; 1.00 ;     x   ;1.00;
   1.90  ;  1.80  ;  1.70  ; 1.60 ;  1.50  ;   1.40  ;  1.30 ; 1.20 ;   1.00  ;  x ;
   
